epoch,train_loss,val_mse,val_mae,val_rmse,val_r2,val_acc
1,3.2300653389017833,0.41964074969291687,0.43595021963119507,0.6477968429167564,0.959880555724849,20.74074000120163
2,0.3817841144964883,0.23575052618980408,0.37433668971061707,0.4855414773114693,0.9774612449465905,18.14814805984497
3,0.2811664639923133,0.1914793998003006,0.2851317226886749,0.43758359178595874,0.9816937537091475,26.66666805744171
4,0.225927338494282,0.07053352892398834,0.21651500463485718,0.2655814920584421,0.9932566941872985,28.148147463798523
5,0.2626549259416367,0.16006924211978912,0.3069324493408203,0.4000865432875606,0.9846966976322402,20.555555820465088
6,0.35489570359258277,0.2913033962249756,0.409287691116333,0.5397252970029991,0.9721501536392113,15.18518477678299
7,0.38625093196567734,0.26543647050857544,0.38781455159187317,0.5152052702647513,0.9746231419683368,18.333333730697632
8,0.2182762051785463,0.09054220467805862,0.23508945107460022,0.30090231750197377,0.9913437790275237,30.7407408952713
9,0.17380559498346165,0.11083194613456726,0.23470439016819,0.33291432251341674,0.9894039934848675,33.888888359069824
10,0.15022677143937663,0.032342564314603806,0.13350708782672882,0.1798403856607403,0.9969079129434714,52.77777910232544
11,0.1736414495267366,0.0686163529753685,0.21025513112545013,0.26194723318899266,0.9934399842913686,30.37036955356598
12,0.11916079705483035,0.1565217226743698,0.2878611385822296,0.3956282632400898,0.9850358563532807,27.59259343147278
13,0.15884810936098037,0.022887960076332092,0.11191412061452866,0.15128767324647469,0.9978118135173005,56.111109256744385
14,0.14888578040623351,0.024894248694181442,0.12161081284284592,0.15777911361831592,0.9976200037539923,50.37037134170532
15,0.13350057503894755,0.0953107550740242,0.21364766359329224,0.30872439986827116,0.9908878854919978,35.555556416511536
16,0.1583957953476592,0.0372752770781517,0.1595100611448288,0.1930680633304009,0.9964363247567469,34.074074029922485
17,0.10226880749197383,0.018191002309322357,0.10754521936178207,0.13487402384937716,0.9982608626558598,55.18518686294556
18,0.13375381120529614,0.050783466547727585,0.15710784494876862,0.225351872740671,0.9951448839482576,46.85185253620148
19,0.11158004013429347,0.05063704401254654,0.1712510734796524,0.225026762880655,0.9951588827383137,34.44444537162781
20,0.10870540752320697,0.06141335517168045,0.13369722664356232,0.24781718094530986,0.9941286214300874,64.62963223457336
21,0.13219530694186687,0.14597825706005096,0.26322659850120544,0.38207101049418934,0.9860438556850398,28.333333134651184
22,0.16382224323522104,0.09830363094806671,0.24450050294399261,0.3135340985412379,0.9906017536676526,25.925925374031067
23,0.11568022220346488,0.06410755962133408,0.16389816999435425,0.2531947069378309,0.9938710436930552,42.96296238899231
24,0.09992470070229549,0.09037292003631592,0.18891224265098572,0.30062089088470867,0.9913599636617006,38.88888955116272
25,0.08430742732200183,0.023869415745139122,0.10561954975128174,0.15449730012249122,0.9977179821146149,62.59258985519409
26,0.11125783519329209,0.04968315362930298,0.16355450451374054,0.2228971817437425,0.9952500786674257,42.222222685813904
27,0.07930231136024783,0.02374866046011448,0.11547263711690903,0.15410600397166385,0.9977295267686987,53.33333611488342
28,0.08019115768471047,0.044004861265420914,0.15487661957740784,0.20977335690077736,0.9957929477273326,41.85185134410858
29,0.08053302755089183,0.11197607219219208,0.25294163823127747,0.3346282597034986,0.9892946101034908,20.555555820465088
30,0.07657722033266175,0.07267989963293076,0.21617251634597778,0.2695920986099755,0.9930514916121937,22.962963581085205
31,0.09284406466605633,0.08643613755702972,0.2058422863483429,0.2940002339404337,0.9917363367756815,36.29629611968994
32,0.09976022398883574,0.09193045645952225,0.2128809541463852,0.30320035695810493,0.9912110561123509,36.4814817905426
33,0.08635756743483637,0.03658932447433472,0.15010574460029602,0.19128336172896668,0.9965019044702981,41.66666567325592
34,0.0875299358495364,0.019527025520801544,0.10405539721250534,0.1397391338201348,0.9981331331096066,58.888888359069824
35,0.083786249381343,0.06082623824477196,0.1999054253101349,0.24662975944677065,0.9941847523402478,26.851850748062134
36,0.07345719337708463,0.05220431461930275,0.16171807050704956,0.22848263526864082,0.9950090448629091,47.777777910232544
37,0.08405783061722391,0.06428705900907516,0.16976024210453033,0.25354892823491715,0.9938538831451582,48.51851761341095
38,0.06704174933072768,0.14550812542438507,0.18518275022506714,0.3814552731636896,0.9860888030967302,55.925923585891724
39,0.07667331593601327,0.03446611762046814,0.1554744690656662,0.18565052550549954,0.9967048921602507,34.074074029922485
40,0.05380293388703936,0.01985389180481434,0.10797950625419617,0.1409038388576207,0.9981018832716961,58.888888359069824
41,0.07407134477245181,0.02930179238319397,0.13454411923885345,0.17117766321338182,0.997198623795513,46.481481194496155
42,0.06574939046741317,0.09415555745363235,0.20995739102363586,0.30684777570259875,0.990998327182578,40.55555462837219
43,0.08040104590748486,0.10165861994028091,0.25060850381851196,0.3188394893050121,0.9902810029081013,27.77777910232544
44,0.07781983586028218,0.053639259189367294,0.16812995076179504,0.2316015094712625,0.994871858071105,41.48148000240326
45,0.0723746967085294,0.039324574172496796,0.1405867338180542,0.1983042464812511,0.9962404031548879,50.740742683410645
